feature,area,question,total_yes_percent,total_no_percent,total_a_doctor_s_office_or_health_maintenance_organization_hmo_percent,total_a_health_department_percent,total_a_hospital_example_inpatient_percent,total_a_school_percent,total_a_senior_recreation_or_community_center_percent,total_a_store_examples_supermarket_drug_store_percent,total_an_emergency_room_percent,total_another_type_of_clinic_or_health_center_example_a_community_health_center_percent,total_received_vaccination_in_canada_mexico_percent,total_workplace_percent,total_some_other_kind_of_place_percent,total_current_percent,total_former_percent,total_never_percent,total_obese_percent,total_overweight_percent,total_neither_overweight_or_obese_percent,total_normal_percent,total_underweight_percent,total_extremely_obese_percent,total_within_the_past_year_anytime_less_than_12_months_ago_percent,total_within_the_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_the_past_3_years_2_years_but_less_than_3_years_ago_percent,total_within_the_past_5_years_3_years_but_less_than_5_years_ago_percent,total_5_or_more_years_ago_percent,total_10_or_more_years_ago_percent,total_within_the_past_10_years_5_years_but_less_than_10_years_ago_percent,total_yes_but_female_told_only_during_pregnancy_percent,total_no_pre_diabetes_or_borderline_diabetes_percent,total_41_percent,total_41_64_percent,total_65_percent,total_within_the_past_month_anytime_less_than_1_month_ago_percent,total_within_the_past_year_1_month_but_less_than_12_months_ago_percent,total_2_or_more_years_ago_percent,total_yes_only_one_percent,total_more_than_one_percent,total_within_past_year_anytime_less_than_12_months_ago_percent,total_within_past_2_years_1_year_but_less_than_2_years_ago_percent,total_within_past_5_years_2_years_but_less_than_5_years_ago_percent,total_poor_percent,total_fair_percent,total_good_percent,total_very_good_percent,total_excellent_percent,total_fair_or_poor_health_percent,total_good_or_better_health_percent,total_5_or_more_days_percent,total_none_to_less_than_5_days_percent,total_14_or_more_days_percent,total_none_to_less_than_14_days_percent,total_1_to_4_miles_percent,total_5_to_9_miles_percent,total_10_to_14_miles_percent,total_15_to_20_miles_percent,total_21_to_50_miles_percent,total_more_than_50_miles_percent,total_none_or_less_than_5_days_percent,total_none_or_less_than_14_days_percent,total_1_to_5_percent,total_6_or_more_but_not_all_percent,total_all_percent,total_none_percent,total_within_the_past_5_years_2_years_but_less_than_5_years_ago_percent,total_yes_during_pregnancy_percent,total_always_percent,total_nearly_always_percent,total_sometimes_percent,total_seldom_percent,total_never_drive_or_ride_in_a_car_percent,total_every_day_percent,total_some_days_percent,total_not_at_all_percent,total_current_smoker_every_day_percent,total_current_smoker_some_days_percent,total_former_smoker_percent,total_never_smoker_percent,total_within_the_past_month_less_than_1_month_ago_percent,total_within_the_past_3_months_1_month_but_less_than_3_months_ago_percent,total_within_the_past_6_months_3_months_but_le8ss_than_6_months_ago_percent,total_within_the_past_year_6_months_but_less_than_1_year_ago_percent,total_within_the_past_5_years_1_year_but_less_than_5_years_ago_percent,total_10_years_or_more_percent,total_never_smoked_regularly_percent
Diabetes,1,Feet Checked for Sores,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insulin,1,Taking Insulin,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes Eye Exam,1,Time Since Last Eye Exam,,,,,,,,,,,,,,,,--,,,,,,,,--,,,,,,,,,,,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind,1,Blind or Have Serious Difficulty Seeing,4.7%,95.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disability Status,1,Disability Status,21.0%,79.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Doing Errands Alo,1,Have Difficulty Doing Errands Alone,5.7%,94.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Concentrating,1,"Have Serious Difficulty Concentrating, Remembering, or Making Decisions",7.9%,92.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Dressing,1,Have Serious Difficulty Dressing or Bathing,2.7%,97.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Difficulty Walking,1,Have Serious Difficulty Walking or Climbing Stairs,13.4%,86.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Drinking Past Month,1,Drinking and Driving in the Past Month,6.7%,93.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leisure Time PA,1,Leisure Time Physical Activity,63.7%,36.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,1,"Had A Fall in the Past Year, Age 45+",29.7%,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,1,Have At Least One Personal Doctor,68.7%,31.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,1,Have Personal Doctor,,31.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0%,8.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Coverage,1,Health Care Coverage,77.4%,22.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Coverage Age 18-,1,"Health Care Coverage, Age 18-64",72.9%,27.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Cost,1,Medical Cost,17.7%,82.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,1,Routine Checkup in the Past Year,63.1%,36.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,1,Time Since Routine Checkup,,,,,,,,,,,,,,,,2.0%,,,,,,,,,,,13.0%,,,,,,,,,,,,,63.1%,12.3%,9.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Health,1,General Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1%,15.4%,40.4%,20.9%,17.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair or Poor Health,1,General Health Fair to Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5%,78.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 5+ Days,1,Days of Poor Mental Health - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9%,85.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 14+ Days,1,Days of Poor Mental Health - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6%,91.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 5+ Days,1,Days of Poor Physical Health - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2%,82.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 14+ Day,1,Days of Poor Physical Health - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5%,89.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Physical Health 5+ Days,1,Days Poor Health Interfered With Usual Activities - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0%,88.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hlth Affected Activ 14+ Days,1,Days Poor Health Interfered With Usual Activities - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2%,92.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Had HIV Test,1,Ever Had HIV Test,29.7%,70.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidney Disease,1,Kidney Disease,2.0%,98.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,1,Doctor Ever Recommended a Mammogram,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,1,Miles From Work/Home to Closest Mammogram Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,1,Miles From Work/Home Traveled for Most Recent Mammogram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1%,20.9%,20.5%,4.8%,24.0%,14.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,1,Most Recent Mammography Was Recommended,86.1%,13.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 5+ Days,1,Days Poor Mental Health Interfered With Activities - 5+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0%,,,,,,,,,,96.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Mental Health 14+ Days,1,Days Poor Mental Health Interfered With Activities - 14+ Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5%,,,,,,,,,97.5%,,,,,,,,,,,,,,,,,,,,,,,,,
Insulin,1,Taking Medicine or Receiving Treatment for Mental Illness,8.3%,91.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentist Visit Past Year,1,Dentist Visit in the Past Year,54.5%,45.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RemoveTeeth,1,Number of Permanent Teeth Removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1%,6.1%,8.1%,61.6%,,,,,,,,,,,,,,,,,,,,,
Last Dentist Visit,1,Time Since Last Dentist Visit,,,,,,,,,,,,,,,,1.7%,,,,,,,54.5%,10.3%,,,16.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6%,,,,,,,,,,,,,,,,,,,,
Pre-Diabetes,1,Prediabetes,4.0%,93.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2%,,,,,,,,,,,,,,,,,,,
Diabetes Test,1,Tested for Diabetes or High Blood Sugar,47.8%,52.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Rx Pain Talk,1,Ever Discussed Prostate-Specific Antigen Test Advantages,57.5%,42.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Rx Pain Talk,1,Ever Discussed Prostate-Specific Antigen Test Disadvantages,18.6%,81.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Told High BP,1,Prostate-Specific Antigen Test Ever Recommended,45.6%,54.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,1,"Prostate-Specific Antigen Test in the Past 2 Years, Age 40+",53.1%,46.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationHomeBloodStoolTest,1,Time Since Last Prostate-Specific Antigen Test,,,,,,,,,,,,,,,,,,,,,,,69.5%,16.9%,4.6%,3.9%,5.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of Smoking,1,Frequency of Seatbelt Use,,,,,,,,,,,,,,,,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.6%,7.6%,3.1%,1.6%,0.0%,,,,,,,,,,,,,,
Difficulty Doing Errands Alo,1,Activity on the Internet: Shopping,25.8%,74.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Smoker,1,Current Smoker,18.7%,81.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever Smoked,1,Ever Smoked,42.5%,57.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency of Smoking,1,Frequency of Smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2%,15.7%,56.1%,,,,,,,,,,,
Quit Smoking in Past Yr,1,Quit Smoking in the Past Year,48.3%,51.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokeless Tobacco Use,1,Smokeless Tobacco Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2%,2.1%,91.7%,,,,,,,,,,,
Smoker Status,1,Smoker Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0%,6.7%,23.9%,57.5%,,,,,,,
Last Smoked,1,Time Since Quit Smoking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9%,11.2%,5.8%,4.0%,18.6%,40.7%,1.1%
Served on Active Duty,1,Served On Active Duty in the United States Armed Forces,8.0%,92.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumonia Shot, 18+",8,Ever Had Pneumonia Shot,30.0%,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pneumonia Shot, 65+",8,"Ever Had Pneumonia Shot, Age 65+",69.3%,30.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Shot in Past Year,8,Flu Shot in the Past Year,38.8%,61.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 18-64",8,"Flu Shot in the Past Year, Age 18-64",34.0%,66.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flu Shot, 65+",8,"Flu Shot in the Past Year, Age 65+",60.8%,39.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu Vaccine Location,8,Location of Flu Shot,,,30.3%,0.7%,7.6%,1.3%,1.3%,29.5%,0.2%,12.4%,0.0%,14.3%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Drinking Past Month,8,Any Drinking in the Past Month,54.4%,45.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,8,Binge Drinking in the Past Month,18.7%,81.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking - Females,8,"Binge Drinking or Heavy Alcohol Consumption, Females Age 18-44",20.9%,79.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,8,Heavy Alcohol Consumption,7.4%,92.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,8,"Heavy Alcohol Consumption, Females",5.8%,94.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Drinking,8,"Heavy Alcohol Consumption, Males",9.1%,90.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Routine Checkup,8,Advised To Reduce or Quit Drinking,11.0%,89.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,8,Asked About Binge Drinking,36.4%,63.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Care Provider,8,Asked in Person or On A Form About Amount of Drinking,66.9%,33.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binge Drinking,8,Asked in Person or On A Form If Drinking Alcohol,77.2%,22.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthritis,8,Arthritis,20.6%,79.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma Status,8,Asthma Status,,,,,,,,,,,,,,7.8%,4.6%,87.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Asthma,8,Current Asthma,62.7%,37.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Asthma,8,Current Asthma Status,7.8%,92.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifetime Asthma,8,Lifetime Asthma,12.6%,87.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI 3 Categories,8,Body Mass Index (BMI) 3 Categories,,,,,,,,,,,,,,,,,33.0%,38.5%,28.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI 4 Categories,8,Body Mass Index (BMI) 4 Categories,,,,,,,,,,,,,,,,,33.0%,38.5%,,27.6%,0.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI 5 Categories,8,Body Mass Index (BMI) 5 Categories,,,,,,,,,,,,,,,,,27.7%,38.5%,,27.6%,0.9%,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obese,8,Obese,33.0%,67.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overweight or Obese,8,Overweight or Obese,71.5%,28.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,8,"Clinical Breast Exam in the Past Year, Age 40+",42.9%,57.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Ever Had a Mammogram,65.4%,34.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Ever Had Clinical Breast Exam,83.2%,16.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hysterectomy,8,Had Hysterectomy,23.6%,76.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 40+,8,"Mammogram in the Past 2 Years, Age 40+",29.2%,70.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 50-74,8,"Mammogram in the Past 2 Years, Age 50-74",20.8%,79.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram Past 2 Yrs 50+,8,"Mammogram in the Past 2 Years, Age 50+",22.9%,77.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pap Test Past 3 Yrs 21-65,8,Pap Smear Test in the Past 3 Years,30.0%,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pap Test Past 3 Yrs 21-65,8,"Pap Smear Test in the Past 3 Years, Age 21-65",24.5%,75.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationClnscpySgmy,8,Time Since Last Clinical Breast Exam,,,,,,,,,,,,,,,,,,,,,,,65.5%,15.9%,5.8%,5.1%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammogram,8,Time Since Last Mammogram,,,,,,,,,,,,,,,,,,,,,,,56.1%,19.5%,7.1%,6.6%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DurationHomeBloodStoolTest,8,Time Since Last Pap Smear Test,,,,,,,,,,,,,,,,,,,,,,,48.7%,19.3%,7.8%,7.9%,16.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any Cancer,8,Any Cancer,9.6%,90.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Cancer,8,Other Cancer,6.0%,94.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Cancer,8,Skin Cancer,4.4%,95.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVD,8,Cardiovascular Disease,7.8%,92.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coronary Heart Disease,8,Coronary Heart Disease,3.9%,96.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVD,8,Heart Attack,4.5%,95.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVD,8,Heart Disease,6.4%,93.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
