County,cve,outbreak,enrollment,population,PHR,pct_hispanic,pct_black,pct_white,pct_poverty,pct_uninsured,pct_college,median_income,pct_foreign_born
Hutchinson,2.95,0,3635,20223,1,24.8,2.2,70.4,9.1,13.1,16.8,NA,0.8
Irion,5.78,0,334,1475,9,27.5,0.1,72.5,8.1,14.8,28.3,NA,0
Jack,3.06,0,1613,9606,2,18.7,2.9,85.5,8.1,18,14.5,NA,0.1
Jackson,1.54,0,3399,15034,8,33.4,6.6,67.4,11.4,16.8,16.6,NA,1
Jasper,4.93,0,5792,32954,5,7,15.3,74.1,19.1,18.8,14,NA,0.5
Jeff Davis,2.7,0,714,2035,10,30.1,0,68.6,17.4,14.5,35.9,NA,0.3
Jefferson,2.38,0,40983,258038,5,24.1,33,40.2,16.4,20.6,19.7,NA,0.9
Jim Hogg,0.11,0,967,4697,11,91.4,0.3,33.5,34,29,14.8,NA,0.4
Jim Wells,1.75,0,7302,38468,11,79.5,1.4,68,20.5,20.9,16.3,NA,0.5
Johnson,4.53,0,38452,209341,3,25.3,5.4,71.9,7.2,16.3,25.2,NA,1.2
Jones,2.48,0,2572,21101,2,28.6,10.1,63.3,11.8,19.3,12,NA,1
Karnes,0.81,0,2383,15196,8,53.4,9.5,51,13.6,15.8,14.3,NA,0.8
Kaufman,2.73,0,42263,200711,3,27.4,18.6,54.2,7.7,15,26.5,NA,1.1
Kendall,6.49,0,12218,50790,8,24.4,0.9,75.2,3.5,10.8,48.9,NA,1.6
Kenedy,4.71,0,126,338,11,88.3,0.7,20,0,24.8,13,NA,0
Kent,4.07,0,169,730,2,16.1,1,85,1.6,3.8,26.3,NA,2.2
Kerr,4.52,0,6716,53984,8,26.8,1.6,73.9,7.2,17.3,31.3,NA,1.1
Kimble,4.37,0,589,4383,9,26.5,1.4,74,5.6,13.7,27.1,NA,0.5
King,8.79,0,93,268,1,16.6,0,69.2,15.3,7.6,38.9,NA,0
Kinney,2.78,0,521,3108,8,57.5,0.1,63.1,8.5,21.7,11.8,NA,7.1
Kleberg,1.63,0,4444,31032,11,71.4,3.8,42.1,19.3,16.2,23.2,NA,0.8
Knox,0.94,0,710,3246,2,33.5,4.9,68.1,11.9,17.7,13.5,NA,1.1
La Salle,0.83,0,1157,51503,8,71.8,5.8,33.3,19,17.5,11.8,NA,1.9
Lamar,3.24,28,8516,12620,4,9.6,12.1,75.1,15.7,19.3,21.6,NA,1.9
Lamb,2.95,1,2630,23572,1,58.3,3.7,68.4,9.3,25.1,14.3,NA,0.5
Lampasas,4.29,0,3956,6735,7,20.5,4,76.8,6.8,12.9,24.3,NA,3.7
Lavaca,2.92,0,2547,20919,8,20.1,3.6,74,8.6,10.5,22.2,NA,0.2
Lee,2.29,0,3108,18432,7,26.6,9.6,65.8,11.5,16.1,20.9,NA,1
Leon,2.57,0,3286,16884,7,16.7,7.2,75.9,12.8,17.2,18.6,NA,1.3
Liberty,1.24,0,24410,117976,6,39.6,7.6,56.8,15.9,26.2,11.9,NA,1.1
Limestone,1.46,0,3628,22049,7,23.5,17.1,59.1,10.9,17.7,18.5,NA,0.6
Lipscomb,4.15,0,611,2745,1,38.6,0,70.9,11.7,18.1,22.4,NA,1.6
Live Oak,1.62,0,1629,12111,11,42.3,2.3,69.7,15,18.3,15.9,NA,0.6
Llano,4.45,0,1968,23181,7,13.4,0.3,87.4,9.1,15.8,32.4,NA,1.5
Loving,0,0,NA,55,9,0,0,93.9,0,0,0,NA,0
Lubbock,2.12,52,51155,329582,1,36.2,7.4,63,11.2,13.9,33.4,NA,0.9
Lynn,5.12,2,1706,6326,1,41.2,1.8,61.9,13.7,12.9,26.8,NA,0.2
Madison,1.58,0,2710,7489,7,26.2,15.5,59.2,10.5,12.9,18.4,NA,1.6
Marion,3.11,0,1125,270957,4,4.8,21.9,70.4,11.3,14.3,15.6,NA,0.3
Martin,3.11,3,1303,563,9,47.7,2.8,67.2,3.5,17.1,20.9,NA,0
Mason,3.75,0,700,14184,9,18.9,0.1,84.5,1.1,13.5,38.8,NA,0.6
Matagorda,1.91,0,6951,10067,6,43.7,10.3,52.5,16.8,17.9,22.2,NA,1.3
Maverick,0.39,0,13820,5154,8,94.8,0.2,17.2,20.1,23.4,14.3,NA,1.7
Mcculloch,1.68,0,NA,4086,9,30.5,0.9,69,11.7,19.8,23.9,NA,1
Mclennan,1.82,9,NA,36405,7,27,13.9,58.7,10.5,14.2,28.7,NA,1.1
Mcmullen,8.3,0,NA,58621,11,62.1,0,43.7,12.4,15,20.1,NA,0.1
Medina,1.05,0,14942,56647,8,51.5,2.9,58.2,6.2,11.6,23.1,NA,1.6
Menard,1.22,0,264,1877,9,25.7,0.4,75.1,11.7,23.6,24,NA,1
Midland,2.42,6,33445,184344,9,46,7.2,55.9,8.9,14.5,31,NA,1.1
Milam,1.73,0,4276,26199,7,26,8.3,69.1,9.4,15.7,20.6,NA,1
Mills,0,0,767,4547,7,21,0.7,77,6.8,10.8,27.9,NA,0.6
Mitchell,0.87,0,1288,8858,2,38.8,8.5,61.4,5,17.5,11.5,NA,0.3
Montague,7.25,0,3240,22362,2,12.3,0.1,89.8,11.6,14.5,18.9,NA,0.4
Montgomery,3.88,0,132289,775723,6,27.9,6.4,66.8,7.3,15.1,38.8,NA,2.1
Moore,1.08,0,4974,22110,1,61,4.9,48.7,16.5,22.8,12.3,NA,1.5
Morris,1.02,0,1879,11994,4,11.2,22.4,62.8,14.6,12.7,16,NA,0.8
Motley,7.36,0,179,1035,1,10.1,5.3,80.5,15.1,20.7,19.3,NA,0.1
Nacogdoches,2.22,0,10396,64105,5,21.6,16.7,62,16.5,15.4,28.2,NA,0.5
Navarro,2.13,0,10623,55841,3,32.1,9.4,58.3,12.9,18.4,18.2,NA,0.9
Newton,4.39,0,1750,11810,5,3.6,17.3,74.6,11.8,19.2,6.8,NA,0.4
Nolan,2.28,0,14455,14432,2,37.4,2.7,66.4,16.7,13.3,16,NA,0.5
Nueces,1.7,0,56536,359942,11,62.5,3.9,45.8,13.4,17.6,23.8,NA,1.2
Ochiltree,1.33,0,1802,9759,1,56.8,0,67.6,7.4,25.6,20.7,NA,0.1
Oldham,4.62,0,844,1812,1,27.8,8.8,70.8,11.6,18.9,21.4,NA,0.3
Orange,5.05,0,15015,85934,5,9.6,7.8,79.3,9.9,14.9,17.7,NA,0.5
Palo Pinto,3.68,0,4717,29927,3,20.6,2.4,79,12,18.2,17.8,NA,1
Panola,4.34,0,3981,22889,4,10.4,11.3,72.7,8.6,17,17,NA,0.6
Parker,5.9,0,26953,179074,3,14.7,1.3,83.2,6.1,13.2,32.3,NA,1.1
Parmer,1.07,5,2164,9288,1,66.7,0.3,64,8.9,24.1,16.9,NA,0.2
Pecos,3.39,0,14033,15744,9,71.3,4.6,50.2,15.3,16.5,14.1,NA,0.4
Polk,1.96,0,7045,54730,5,15.3,7.7,74.5,14.8,14.4,16.2,NA,0.8
Potter,2.3,1,32725,117502,1,39.3,10.6,55.8,14.6,19.3,18.6,NA,1.5
Presidio,0.55,0,1279,6187,10,79.5,0.7,45.2,24.7,33.6,28,NA,1.2
Rains,3.94,0,1712,13512,4,10.3,2.5,84.3,8,17.5,20.9,NA,1.5
Randall,3.67,1,11565,151067,1,24.6,3.5,74.3,7.4,11,33.7,NA,0.9
Reagan,0.7,0,855,3414,9,68.7,5.8,38.2,6.4,19,13.6,NA,0.3
Real,3.77,0,518,2737,8,18.9,0.7,93.3,13.8,16.2,21.1,NA,2
Red River,1.75,0,1976,11793,4,7.5,16.3,74.9,12.7,16.5,15.4,NA,0.8
Reeves,1.88,2,3065,15034,9,85.3,1.8,38.8,13.3,17.5,7.4,NA,1.6
Refugio,3.31,0,1197,6848,11,50.4,7.2,56.6,13.8,16.1,14,NA,0.1
Roberts,1.14,0,177,813,1,6.6,0.4,93.5,2.9,11.1,20.5,NA,1.3
Robertson,1.38,0,3408,17653,7,22.2,17.2,61.5,9.6,11.3,22,NA,1.3
Rockwall,5.35,1,29269,135364,3,20.8,9.3,67.6,3.3,8.7,44.5,NA,1.3
Runnels,1.88,0,1960,9611,2,34.9,2.9,64.4,8.6,16.7,19.1,NA,1.1
Rusk,2.83,0,7717,53498,4,19.1,13.2,65.6,10.3,13.7,17.5,NA,0.8
Sabine,5.11,0,1426,9984,5,1.6,6.8,85.7,6.5,12.8,14.3,NA,0.3
San Augustine,3.48,0,974,7887,5,8.3,21.5,69.4,17,19.4,13.8,NA,0.1
San Jacinto,2.64,0,3553,28777,5,19.2,8.8,72.5,16.1,17.7,16.2,NA,1.6
San Patricio,1.55,0,13848,71946,11,56.5,1.5,55.8,11.8,18.7,17.5,NA,1.1
San Saba,4.64,0,981,5626,7,30.7,2.5,72.5,10.8,27,24,NA,1.3
Schleicher,0.76,0,415,2238,9,53.2,0.5,48.8,8.5,22.8,18.4,NA,0
Scurry,1.24,0,2859,16044,2,43.3,3.3,64.5,9.5,16.8,13,NA,0.7
Shackelford,3.79,0,589,2938,2,12.9,0.9,83.7,5.9,13.4,34.1,NA,0.3
Shelby,2.74,0,5174,24094,5,19.9,15.1,64.2,17.2,20.9,15.1,NA,0.4
Sherman,2.81,0,669,2773,1,46.6,0.1,57.4,9.3,16.3,30.2,NA,0.2
Smith,4.48,0,40442,245101,4,20.9,16.3,66.5,7.7,16.9,28.6,NA,1.4
Somervell,6.48,0,2180,10288,3,18.2,1.3,83.2,5.5,12.4,29.3,NA,1.2
Starr,0.06,0,15488,66763,11,97.2,0.4,32.9,31,28.9,13.6,NA,1.5
Stephens,5.5,0,1374,9210,2,25.1,3.1,78.2,12,13.8,17.2,NA,0.4
Sterling,5.03,0,355,1350,9,35.7,0.1,72.5,1.2,26.4,24.5,NA,0.2
Stonewall,0.57,0,181,1237,2,20,0.4,88.7,7.4,12.7,16.9,NA,0
Sutton,2.27,0,643,3350,9,63.4,0.1,45.4,3.2,15.8,18.3,NA,0.4
Swisher,1.69,0,1316,6790,1,46.3,7.8,59.5,23,23.3,15.5,NA,0.1
Tarrant,3.3,0,336474,2245229,3,30.3,17.7,48.2,8.2,16.7,34.8,NA,1.9
