Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
Dentist Visit Past Year - No,46.7,46.8,37.8,55.2,53.4,41.6,36.4,38.3,52.3,49.7,43.3,2.6374,1.5184,-7.5795,21.5859,15.5844,2.4631,-1.6216,1.5915,-4.0367,6.424,-8.4567
Dentist Visit Past Year - Yes,53.3,53.2,62.2,44.8,46.6,58.4,63.6,61.7,47.7,50.3,56.7,-2.2018,-1.2987,5.2453,-17.9487,-13.3829,-1.6835,0.9524,-0.9631,4.8352,-5.6285,7.5901
Depressive Disorder - No,83.1,75.3,78.1,75.1,72.7,82.4,74.6,72.6,82.9,76.9,80.8,-5.4608,-11.3074,-8.4408,-10.5952,-13.658,-5.3961,-8.802,-13.879,3.1095,-8.4524,-6.0465
Depressive Disorder - Yes,16.9,24.7,21.9,24.9,27.3,17.6,25.4,27.4,17.1,23.1,19.2,39.6694,63.5762,48.9796,55.625,72.7848,36.4341,39.5604,74.5223,-12.7551,44.375,37.1429
Diabetes - No,80.4,81.8,85.0,79.2,80.4,84.2,85.3,81.5,85.5,78.1,79.4,-10.5673,-0.4866,-3.6281,-8.2271,-4.0573,-4.7511,-3.9414,-1.0922,-1.9495,-3.5802,-2.0962
"Diabetes - No, borderline
or pre-diabetes",R,R,1.8,R,R,3.5,2.5,2.0,R,R,R,,,,,,,,17.6471,,,
Diabetes - Yes,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0,75.8242,0.0,18.2692,60.4839,22.5352,14.5631,27.4725,2.7586,11.8812,11.8012,9.0909
"Diabetes - Yes, but during pregnancy",R,R,0.9,R,R,R,R,1.6,R,R,R,,,200.0,,,,,14.2857,,,
Diabetes Affected Feet - No,84.3,90.1,92.9,N,84.2,89.6,91.0,94.4,79.8,89.2,94.7,,,,,,,,,,,
Diabetes Affected Feet - Yes,R,R,R,N,R,R,R,R,R,R,R,,,,,,,,,,,
Diabetes Age - 40 years or younger,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,
Diabetes Age - 41 to 64,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,
Diabetes Age - 65 years or older,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,
Diabetes Education - No,R,R,R,N,R,R,R,R,R,R,R,,,,,,,,,,,
Diabetes Education - Yes,R,R,11.4,N,R,R,R,12.0,R,R,R,,,-80.7107,,,,,-71.564,,,
Diabetes Eye Exam - 2 or more years,17.8,13.2,11.9,N,R,R,11.3,9.5,57.6,R,R,,,,,,,,-24.0,,,
Diabetes Eye Exam - Never,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-100.0,,-100.0,-100.0,-100.0,-100.0,,-100.0,-100.0
Diabetes Eye Exam - Within the past 2 years,R,R,15.4,N,R,R,13.0,22.0,R,R,R,,,-13.4831,,,,12.069,136.5591,,,
Diabetes Eye Exam - Within the past month,22.4,R,16.4,N,R,R,24.2,19.3,R,18.2,15.6,,,-11.828,,,,-15.0877,9.6591,,42.1875,-38.8235
Diabetes Eye Exam - Within the past year,43.6,33.8,45.5,N,58.3,52.6,48.1,42.9,R,42.2,41.9,,-6.8871,9.6386,,2.1016,52.907,12.3832,-16.3743,,-23.8267,22.8739
Diabetes Status - No,84.0,84.5,87.7,80.1,82.6,88.2,88.4,85.1,88.7,82.0,82.0,-7.5908,0.0,-2.1205,-8.5616,-3.7296,-1.6722,-2.7503,-0.4678,-1.3348,-2.2646,-1.7964
Diabetes Status - Yes,16.0,15.5,12.3,19.9,17.4,11.8,11.6,14.9,11.3,18.0,18.0,75.8242,0.0,18.2692,60.4839,22.5352,14.5631,27.4725,2.7586,11.8812,11.8012,9.0909
Diabetes Test - No,N,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,
Diabetes Test - Yes,N,,N,N,N,N,N,N,N,N,N,,,,,,,,,,,
Diabetes Type - Type 1,R,R,10.9,N,R,R,R,9.0,R,R,R,,,,,,,,,,,
Diabetes Type - Type 2,93.8,96.6,89.1,N,84.5,95.2,88.6,91.0,91.7,89.7,82.6,,,,,,,,,,,
Difficulty Concentrating - No,83.2,83.0,85.8,87.4,84.8,85.2,86.7,84.0,86.0,81.0,82.7,-9.6634,-3.6005,-5.6106,0.4598,0.5931,-6.8852,,-6.3545,0.1164,-6.8966,-5.4857
Difficulty Concentrating - Yes,16.8,17.0,14.2,12.6,15.2,14.8,13.3,16.0,14.0,19.0,17.3,112.6582,22.3022,56.044,-3.0769,-3.1847,74.1176,,55.3398,-0.7092,46.1538,38.4
