Sheet,1,2,3,4,5,6,7,8,9,10,11,PHR1_pct_diff,PHR2_pct_diff,PHR3_pct_diff,PHR4_pct_diff,PHR5_pct_diff,PHR6_pct_diff,PHR7_pct_diff,PHR8_pct_diff,PHR9_pct_diff,PHR10_pct_diff,PHR11_pct_diff
Poor Physical Health 14+ Day - None to less than 14 days,86.9,82.3,87.9,88.7,86.2,89.0,88.2,85.2,84.8,86.0,88.2,-2.905,1.23,-1.8973,5.3444,0.3492,-1.766,-1.0101,-4.4843,0.0,-2.0501,5.1251
Poor Physical Health 5+ Days - 5 or more days,27.6,25.1,21.2,21.8,23.5,20.8,22.1,25.2,21.6,25.2,22.8,60.4651,10.5727,32.5,-0.4566,-13.9194,24.5509,33.9394,48.2353,-5.2632,25.3731,0.4405
Poor Physical Health 5+ Days - None to less than 5 days,72.4,74.9,78.8,78.2,76.5,79.2,77.9,74.8,78.4,74.8,77.2,-12.5604,-3.1048,-6.1905,0.128,5.227,-4.922,-6.7066,-9.8795,1.5544,-6.383,-0.1294
Pre-Diabetes - No,84.6,86.9,83.7,84.8,84.1,80.9,82.6,79.1,86.5,79.1,80.0,-9.8081,1.6374,-7.8194,-8.9151,-6.3474,-11.9695,-8.4257,-6.7217,-1.4806,-16.2963,-14.2551
Pre-Diabetes - Yes,11.6,12.7,15.4,14.7,12.6,18.3,16.0,19.3,12.8,19.1,19.0,190.0,-12.4138,73.0337,157.8947,77.4648,177.2727,90.4762,42.963,4.918,315.2174,272.549
"Pre-Diabetes - Yes, during pregnancy",R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Pre-Diabetes 2 - No,88.7,89.4,86.6,89.0,90.0,84.0,85.9,83.8,88.4,84.6,84.8,,,,,,,,,,,
Pre-Diabetes 2 - Yes,11.3,10.6,13.4,11.0,10.0,16.0,14.1,16.2,11.6,15.4,15.2,,,,,,,,,,,
Provided Care Past 30 Days - No,78.3,70.2,82.0,76.0,78.2,76.5,80.4,78.2,80.6,76.8,79.9,,,,,,,,,,,
Provided Care Past 30 Days - Yes,21.7,29.7,17.9,23.8,21.0,23.5,19.5,21.7,18.7,23.2,19.8,,,,,,,,,,,
Quit Smoking in Past Yr - No,51.1,43.1,39.6,N,50.0,49.1,55.5,44.0,R,N,36.9,-1.1605,32.6154,10.9244,,-4.3977,54.8896,47.2149,25.7143,,,0.545
Quit Smoking in Past Yr - Yes,48.9,56.9,60.4,N,50.0,50.9,44.5,56.0,73.0,N,63.1,1.2422,-15.7037,-6.0653,,4.8218,-25.4758,-28.5714,-13.8462,,,-0.316
Reg BP Check - No,31.9,25.5,27.6,35.7,26.2,35.1,32.5,33.0,25.5,27.1,21.5,,,,,,,,,,,
Reg BP Check - Yes,68.1,74.5,72.4,64.3,73.8,64.9,67.5,67.0,74.5,72.9,78.5,,,,,,,,,,,
RemoveTeeth - 1 to 5,28.0,27.6,27.7,23.9,30.5,29.6,24.7,31.1,28.7,30.7,27.5,16.1826,-14.0187,-4.811,-14.6429,-5.2795,-5.7325,,5.0676,12.549,0.3268,-10.4235
"RemoveTeeth - 6 or More, but not all",12.2,11.9,6.3,14.2,11.4,5.6,8.1,4.8,4.3,7.4,7.2,100.0,-16.1972,-13.6986,46.3918,-4.2017,-28.2051,,-31.4286,-54.2553,19.3548,1.4085
RemoveTeeth - All,4.1,10.8,3.3,9.7,R,2.8,3.2,R,R,3.3,R,-49.3827,103.7736,-8.3333,2.1053,,21.7391,,,,-2.9412,
Routine Checkup - 5 or more years,4.3,3.7,4.9,9.4,R,6.6,5.5,6.6,12.3,5.1,3.5,-66.9231,-62.6263,-37.9747,-27.6923,,-17.5,,-25.8427,-21.1538,-51.4286,-66.3462
Routine Checkup - Never,R,R,0.8,R,R,R,R,R,R,R,R,,,-57.8947,,,,,,,,
Routine Checkup - Within the past 2 years,14.3,9.8,10.3,10.9,8.7,13.0,10.5,9.4,7.0,10.5,12.1,16.2602,24.0506,-21.374,6.8627,8.75,15.0442,,-27.1318,-35.7798,-17.9688,-4.7244
Routine Checkup - Within the past 5 years,R,6.7,7.2,R,R,7.7,6.6,6.1,2.9,10.7,8.9,,-34.9515,-20.0,,,-11.4943,,-28.2353,-71.2871,-6.9565,-4.3011
Routine Checkup - Within the past year,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8,16.7987,10.2921,12.7753,12.6348,6.6298,2.9957,,13.9259,27.0315,19.8361,12.844
Routine Checkup in the Past  - No,26.3,20.7,23.2,26.9,22.8,27.8,23.0,23.1,23.4,26.9,26.2,-28.7263,,,,,,,-28.9231,,,-24.2775
Routine Checkup in the Past  - Yes,73.7,79.3,76.8,73.1,77.2,72.2,77.0,76.9,76.6,73.1,73.8,16.7987,,,,,,,13.9259,,,12.844
Rx Opioid - No,80.8,82.6,87.7,82.4,85.6,90.5,87.9,87.9,88.9,89.7,93.0,,,,,,,,,,,
Rx Opioid - Yes,19.2,17.4,12.3,17.6,14.4,9.5,12.1,12.1,R,10.3,7.0,,,,,,,,,,,
Rx Pain Med - No,75.1,77.0,80.9,78.9,79.1,83.1,80.3,80.1,86.8,80.2,86.0,,,,,,,,,,,
Rx Pain Med - Yes,24.9,23.0,19.1,21.1,20.9,16.9,19.7,19.9,R,19.8,14.0,,,,,,,,,,,
RxPainRiskEd Source - No,40.5,52.8,43.1,46.8,39.9,48.8,41.4,48.4,56.8,53.3,52.9,,,,,,,,,,,
RxPainRiskEd Source - Yes,59.5,47.2,56.9,53.2,60.1,51.2,58.6,51.6,R,46.7,47.1,,,,,,,,,,,
Served on Active Duty - No,92.8,86.2,89.9,87.1,86.4,92.0,85.2,83.1,85.4,86.4,92.3,0.8696,0.3492,0.4469,-3.4368,-2.3729,0.1088,-0.8149,-4.0416,-3.3937,-1.7065,-0.2162
Served on Active Duty - Yes,7.2,13.8,10.1,12.9,13.6,8.0,14.8,16.9,14.6,13.6,7.7,-10.0,-2.1277,-3.8095,31.6327,18.2609,-1.2346,4.9645,26.1194,25.8621,12.3967,2.6667
SexualOrientation - Bisexual,3.5,2.3,4.7,R,R,3.4,6.8,5.7,R,R,R,,,,,,,,,,,
SexualOrientation - Lesbian or Gay,R,R,3.0,R,R,R,2.5,2.7,R,R,R,,,,,,,,,,,
SexualOrientation - Something Else,R,R,2.1,R,R,R,3.0,2.3,R,R,R,,,,,,,,,,,
SexualOrientation - Straight,93.2,94.8,90.2,95.3,92.5,91.0,87.6,89.3,94.8,91.3,91.9,,,,,,,,,,,
Sigm Past 10 Yrs 50-75 IA - No,84.0,85.8,87.2,77.2,84.1,85.5,78.0,77.3,86.5,83.3,83.0,,,,,,,,,,,
Sigm Past 10 Yrs 50-75 IA - Yes,R,R,12.8,R,R,14.5,22.0,22.7,R,16.7,R,,,,,,,,,,,
Sigm Past 10 Yrs Age 50-75 - No,83.9,85.7,87.2,77.4,84.1,85.3,77.8,76.8,86.5,82.3,82.8,,,,,,,,,,,
Sigm Past 10 Yrs Age 50-75 - Yes,R,R,12.8,R,R,14.7,22.2,23.2,R,17.7,R,,,,,,,,,,,
Sigm Past 5 Yrs 50-75 IA - No,90.1,87.5,88.4,80.8,85.4,89.2,80.6,80.8,89.2,86.6,84.7,,,,,,,,,,,
Sigm Past 5 Yrs 50-75 IA - Yes,9.9,R,11.6,R,R,10.8,19.4,19.2,R,R,R,,,,,,,,,,,
Sigm Past 5 Yrs Age 50-75 - No,90.0,87.4,88.5,81.0,85.4,89.1,80.4,80.4,89.2,84.9,84.6,,3021.4286,3177.7778,3757.1429,28366.6667,4589.4737,2992.3077,3250.0,,3942.8571,8360.0
Sigm Past 5 Yrs Age 50-75 - Yes,10.0,R,11.5,R,R,10.9,19.6,19.6,R,R,R,-90.0,,-88.1809,,,-88.8889,-79.8768,-79.918,,,
Sigm and Blood Stool 50-75 I - No,99.7,99.8,98.7,N,97.4,98.0,97.3,96.9,98.2,99.4,91.7,,,,,,,,,,,
Sigm and Blood Stool 50-75 I - Yes,R,R,R,N,R,R,R,R,R,R,R,,,,,,,,,,,
Sigm and Blood Stool Age 50- - No,99.7,99.8,98.7,N,97.4,98.0,97.3,96.8,98.2,99.3,91.6,,,,,,,97200.0,96700.0,,,
Sigm and Blood Stool Age 50- - Yes,R,R,R,N,R,R,R,R,R,R,R,,,,,,,,,,,
Skin Cancer - No,97.4,95.4,95.7,93.1,91.8,96.4,94.0,96.5,96.8,98.7,97.4,3.7274,3.8085,2.2436,-1.3771,-2.0277,0.2079,-0.1063,0.9414,4.086,0.5092,0.309
Skin Cancer - Yes,2.6,4.6,4.3,6.9,8.2,3.6,6.0,3.5,R,R,2.6,-57.377,-43.2099,-32.8125,23.2143,30.1587,-5.2632,1.6949,-20.4545,,,-10.3448
Smokeless Tobacco Use - Every day,3.6,3.1,1.3,R,R,R,2.2,R,R,R,R,-41.9355,-40.3846,-13.3333,,,,-15.3846,,,,
Smokeless Tobacco Use - Not at all,91.9,96.0,98.0,93.5,94.8,97.9,96.5,96.6,86.2,97.6,95.3,0.2181,1.8028,1.1352,0.1071,1.7167,1.1364,1.9007,0.7299,-5.586,-0.9137,-1.9547
Smokeless Tobacco Use - Some days,R,R,0.7,R,R,R,1.2,1.4,2.4,R,R,,,-56.25,,,,-55.5556,-33.3333,-52.9412,,
Smoker Status - Current smoker - every day,9.9,6.9,4.6,10.5,8.4,7.6,6.9,4.9,15.3,R,3.9,,-29.5918,-55.7692,-35.5828,-43.6242,5.5556,-10.3896,,9.2857,,
Smoker Status - Current smoker - some days,3.7,R,2.6,R,R,3.6,2.6,2.8,4.7,R,6.4,,,-38.0952,,,-36.8421,-57.377,,-35.6164,,
Smoker Status - Former smoker,27.0,25.7,22.0,27.6,22.0,21.3,24.0,23.5,30.2,20.5,19.9,12.9707,-6.2044,0.0,23.2143,-3.9301,12.1053,2.5641,3.5242,27.9661,-15.2893,-3.8647
Smoker Status - Never smoked,59.4,63.0,70.7,55.1,62.5,67.5,66.5,68.8,49.8,67.0,69.8,3.3043,,,,,,,9.7289,,,7.716
Stool DNA Past 3 Yrs 50-75 I - No,92.6,94.5,94.6,87.4,95.5,94.7,94.9,95.1,98.8,92.1,90.9,,,,,,,,,,,
Stool DNA Past 3 Yrs 50-75 I - Yes,R,R,5.4,R,4.5,5.3,5.1,4.9,R,7.9,R,,,,,,,,,,,
Stool DNA Past 3 Yrs Age 50- - No,92.5,94.8,94.5,87.4,95.4,94.6,94.8,95.1,98.8,91.7,90.8,,,,,,,,,,,
Stool DNA Past 3 Yrs Age 50- - Yes,R,R,5.5,R,4.6,5.4,5.2,4.9,R,8.3,R,,,,,,,,,,,
Stroke - No,94.9,93.7,95.9,93.1,91.0,98.2,97.4,97.0,96.6,97.7,97.8,-3.8501,-1.1603,-0.6218,-4.7083,-4.2105,2.1852,-0.1026,-0.6148,-0.3096,0.2051,0.2049
Stroke - Yes,R,R,4.1,6.9,R,R,2.6,3.0,R,2.3,R,,,17.1429,200.0,,,4.0,25.0,,-8.0,
Suicidal Ideation - No,97.5,95.9,95.7,94.0,96.4,97.4,96.6,96.4,96.6,95.4,96.4,,,,,,,,,,,
Suicidal Ideation - Yes,2.5,R,4.3,R,R,2.6,3.4,3.6,3.4,R,R,,,,,,,,,,,
Suicide Attempt - No,99.7,100.0,99.2,97.0,99.5,99.7,98.8,99.4,99.3,99.1,100.0,,,,,,,,,,,
Suicide Attempt - Yes,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Teeth Removed - No,55.6,49.8,62.7,52.2,53.3,62.1,63.9,61.2,60.4,58.6,62.6,,,,,,,,,,,
Teeth Removed - Yes,44.4,50.2,37.3,47.8,46.7,37.9,36.1,38.8,39.6,41.4,37.4,,,,,,,,,,,
Transgender - No,R,R,R,0.0,R,R,R,0.0,R,R,R,,,,,,,,,,,
Transgender - Yes,R,R,R,R,R,R,R,R,R,R,R,,,,,,,,,,,
Up-To-Date CRC Scrn 50-75 IA - No,32.8,29.8,29.3,27.0,37.1,34.1,22.6,26.1,37.6,29.5,39.3,,,,,,,,,,,
Up-To-Date CRC Scrn 50-75 IA - Yes,67.2,70.2,70.7,73.0,62.9,65.9,77.4,73.9,62.4,70.5,60.7,,,,,,,,,,,
Up-To-Date CRC Scrn Age 50-7 - No,32.4,29.8,29.2,27.7,37.6,33.8,22.7,25.9,37.6,26.5,39.2,-41.0909,-51.6234,-55.8912,-52.4871,-34.7222,-46.0064,,-60.3369,1.6216,-49.7154,-26.177
Up-To-Date CRC Scrn Age 50-7 - Yes,67.6,70.2,70.8,72.3,62.4,66.2,77.3,74.1,62.4,73.5,60.8,50.2222,82.8125,109.4675,73.3813,47.1698,77.0053,,113.5447,-0.9524,55.3911,29.6375
Up-To-Date Cervical Cancer S - No,39.9,29.5,34.3,N,36.9,39.2,29.7,28.4,34.0,45.0,38.3,,,,,,,,,,,
Up-To-Date Cervical Cancer S - Yes,60.1,70.5,65.7,N,63.1,60.8,70.3,71.6,66.0,55.0,61.7,,,,,,,,,,,
Up-To-Date Cervical Cancer S 2 - No,40.0,29.4,34.5,N,36.8,39.1,30.1,28.3,34.0,49.3,38.3,,,,,,,,,,,
Up-To-Date Cervical Cancer S 2 - Yes,60.0,70.6,65.5,N,63.2,60.9,69.9,71.7,66.0,50.7,61.7,,,,,,,,,,,
V Col 5 Yrs 50-75 IA - No,96.9,98.1,97.0,92.8,92.2,97.0,97.6,96.4,92.8,95.7,95.1,,,,,,,,,,,
V Col 5 Yrs 50-75 IA - Yes,R,R,3.0,R,R,R,R,R,R,R,R,,,,,,,,,,,
V Col 5 Yrs Age 50-75 - No,96.9,98.1,96.9,92.8,92.3,97.0,97.7,96.3,92.8,95.5,95.1,,,,,,,,,,,
V Col 5 Yrs Age 50-75 - Yes,R,R,3.1,R,R,R,R,R,R,R,R,,,,,,,,,,,
VirtualColonoscopy - No,76.0,86.1,81.7,72.4,65.5,74.3,79.9,80.6,72.2,80.3,80.6,,,,,,,,,,,
VirtualColonoscopy - Yes,R,R,18.3,R,34.5,25.7,20.1,19.4,R,19.7,R,,,,,,,,,,,
