"","%IncMSE","IncNodePurity"
"hiv_aids_test_yes",2.13949200723942,0.0672028571559723
"have_at_least_one_personal_d_yes",-1.06684235314709,0.000540317729626488
"health_care_coverage_yes",0.938899869084527,0.00576025300063328
"health_care_coverage_age_18_yes",0,0.00359787333648646
"health_care_provider_more_than_one",1.0510263152879,0.00152323826921386
"health_care_provider_no",-1.01287527072677,0.000105823203299333
"health_care_provider_yes_only_one",1.00071505193263,0.0110523238562659
"heart_attack_no",-1.22595611220443,0.00418544120513902
"heart_disease_no",-0.941619148356169,0.000236173227813001
"heated_tbco_products_yes",3.56932353875346,0.0940585143624328
"heavy_drinking_females_no",1.10646188502839,0.0334628676187008
"heavy_drinking_males_no",-1.05783629457406,0.00146836144270883
"heavy_drinking_no",1.14980673773987,0.00717948776478863
"hlth_affected_activ_14_days_14_or_more_days",1.00071505193263,0.00989174043052873
"hlth_affected_activ_14_days_none_to_less_than_14_days",1.00071505193263,0.00589332992143507
"hlth_affected_activ_5_days_5_or_more_days",2.33418092213145,0.0289884523645952
"hlth_affected_activ_5_days_none_to_less_than_5_days",1.54074789974472,0.00771922160048254
"home_bp_check_yes",1.66015199094097,0.00106245576373651
"hysterectomy_yes",1.57223643097585,0.00438852944815071
"kidney_disease_no",1.49563675029419,0.00265995019850967
"last_dentist_visit_5_or_more_years",1.72985644276244,0.00852265576625921
"last_dentist_visit_within_the_past_2_years",0.432827039928423,0.0611976916868501
"last_dentist_visit_within_the_past_5_years",2.07587933956896,0.0307548862632079
"last_dentist_visit_within_the_past_year",0.861222819308175,0.00152755331183198
"last_smoked_10_years",0.994463313101562,0.00339540886024405
"leisure_time_pa_yes",-1.00071505193263,9.80725739063388e-05
"lifetime_asthma_yes",1.44989696015185,0.0404661905077813
"mammogram_yes",2.96949878153367,0.0336099103372222
"mammogram_past_2_yrs_40_yes",2.74531874622468,0.0415397049330298
"mammogram_past_2_yrs_40_ia_yes",4.10295652451324,0.130655851386107
"mammogram_past_2_yrs_50_yes",3.07532418032316,0.0879922323651837
"mammogram_past_2_yrs_50_ia_yes",3.11887693213282,0.165920974441293
"mammogram_past_2_yrs_50_74_yes",1.8013239221179,0.0145930363084807
"mammogram_past_2_yrs_50_74_i_yes",2.02583412803919,0.00861906968161621
"medical_cost_yes",0.91614676663887,0.0142272819098616
"memory_loss_no",1.85045430284677,0.0753738276651604
"obese_yes",1.32551113818328,0.022108274123027
"other_cancer_no",2.18401439935304,0.0167157042761482
"overweight_or_obese_yes",2.57509805588921,0.0285064240708521
"pain_med_not_rx_no",1.76918339549815,0.0396331269006253
"pneumonia_shot_18_yes",0,0.00292096931191248
"pneumonia_shot_65_yes",1.64129534995397,0.00947787079487441
"poor_mental_health_14_days_14_or_more_days",2.755214656132,0.0950251745686343
"poor_mental_health_14_days_none_to_less_than_14_days",2.62027478658741,0.0693508591699381
"poor_mental_health_5_days_5_or_more_days",1.48738394914253,0.012103912888407
"poor_mental_health_5_days_none_to_less_than_5_days",0.574360541314943,0.00653672771872799
"poor_physical_health_14_day_14_or_more_days",1.41913028802298,0.000185055334655092
"poor_physical_health_14_day_none_to_less_than_14_days",1.6517515631802,0.000466680056266872
"poor_physical_health_5_days_5_or_more_days",1.44418296912205,0.0302590964114889
"poor_physical_health_5_days_none_to_less_than_5_days",1.55029748991425,0.065378920694924
"pre_diabetes_yes",2.07511837802586,0.0478895023459866
"pre_diabetes_2_yes",0.791212468392968,0.000118697566663504
"provided_care_past_30_days_yes",3.07384531555052,0.0150779544999958
"reg_bp_check_yes",-0.245052660417075,0.0115096711033647
"remove_teeth_1_to_5",1.07734014027056,0.00295420782383474
"remove_teeth_6_or_more_but_not_all",1.35139852595629,0.0167264781635273
"routine_checkup_within_the_past_2_years",2.17505346077747,0.0599681875204973
"routine_checkup_within_the_past_year",0.638485453909795,0.0141402081877737
"routine_checkup_in_the_past_yes",0.210641273274426,0.0180324213927255
"rx_opioid_no",1.07110984366939,0.0545668973121803
"rx_pain_med_no",1.46863383732631,0.0273961631246279
"rx_pain_risk_ed_source_no",1.39779206290705,0.0113608246412918
"served_on_active_duty_yes",0.729513668334075,0.0639776227121316
"sexual_orientation_straight",-1.61375191730038,0.0039040131929653
"sigm_past_10_yrs_50_75_ia_no",-0.882466572065213,0.0289046239651518
"sigm_past_10_yrs_age_50_75_no",1.38551342640529,0.00755192836119313
"sigm_past_5_yrs_50_75_ia_no",2.21487295465508,0.0536004292492522
"sigm_past_5_yrs_age_50_75_no",2.48445073673959,0.0509630048831329
"skin_cancer_no",1.46606356770334,0.0480954493575752
"smokeless_tobacco_use_not_at_all",1.9824801435446,0.0157963435986609
"smoker_status_former_smoker",1.55784239812572,0.00690612574986023
"smoker_status_never_smoked",0.816662935249105,0.00867729030755017
