"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"difficulty_doing_errands_alo_no",0.856585044368532,1.41456584702359,1.31263821557409,0.146964808188483
"difficulty_dressing_no",1.66938841553693,1.7365226648383,1.79744990721287,0.0425432310036025
"difficulty_walking_no",1.92402662885678,0.275947979922149,2.05946101446082,0.15597998121558
"difficulty_walking_yes",2.40624362961002,2.11416764691865,2.44599852649069,0.0887807053522915
"disability_status_no",0.560913109948365,1.95067209798432,1.78067046369989,0.0441644311804736
"disability_status_yes",1.57333401926293,1.43479818845153,2.00793782953516,0.111803844272249
"dr_rx_pain_talk_yes",1.60745206156884,1.41623377717708,1.7104749039748,0.0306888168161313
"ever_had_blood_stool_test_yes",0,1.00100150250438,1.00100150250438,0.00969623052403416
"ever_had_hiv_test_no",2.85995541454942,2.34166981391603,2.90931474125382,0.435063904997505
"ever_had_hiv_test_yes",1.17194567584843,2.56193157363401,2.32010826323848,0.288881130995352
"ever_had_sgmscpy_clnscpy_no",3.7385706007604,4.38428027881213,4.6317832719655,1.44959719778085
"ever_had_sgmscpy_clnscpy_yes",2.97142958198313,3.6218911429544,3.6992744797691,1.1854557018911
"ever_smoked_no",1.96762354352892,2.0697052280427,2.40890119121111,0.0348447374101482
"ever_smoked_yes",2.1901088770515,0.315401086440147,2.16638621635872,0.0590658244043332
"ever_told_high_bp_no",1.32445358581731,1.46279211816545,1.74516747346425,0.105829287765381
"ever_told_high_bp_yes",1.30046160885433,1.00100150250438,1.68883749191623,0.0471545100913391
"fobt_past_yr_no",1.27762273170697,1.67079479484002,2.01341078768854,0.189732584005223
"fobt_past_yr_ia_no",1.75866262034369,1.57675298718606,1.78686676138407,0.164982820834132
"fair_or_poor_health_fair_or_poor_health",1.30506071936249,1.29029381564231,1.4159136794715,0.133460541699962
"fair_or_poor_health_good_or_better_health",1.97267401938032,1.81906179067233,2.17684997763674,0.277359165236163
"flu_shot_in_past_year_no",-0.00986705108867043,1.30206927713678,1.35243889241975,0.0572208973387317
"flu_shot_in_past_year_yes",0.743224038370275,1.40294637631922,1.40602587580214,0.0913238095238095
"flu_shot_18_64_no",1.56805231867881,1.72903702141316,1.71302689675279,0.0619432971769154
"flu_shot_18_64_yes",1.49250128996593,1.00100150250438,1.56178932788596,0.0867243375260021
"flu_shot_65_no",-0.614922890675493,1.00100150250438,0.0140285439654812,0.026429190484377
"flu_shot_65_yes",1.00100150250438,1.6417196576721,1.92932017099583,0.030316459545729
"flu_vaccine_location_doctors_office_hmo",4.51581611685309,3.51688736605651,4.80275644953437,3.7351497452277
"flu_vaccine_location_store",1.86157260591396,2.30399635098972,2.23609720243894,0.410267619095345
"frequency_of_smoking_every_day",1.41701028944509,1.4159136794715,1.63628521539469,0.03646279293044
"frequency_of_smoking_not_at_all",1.02830316399397,1.39148553105828,1.44695424029098,0.0545962438877621
"general_health_excellent",3.27211750674405,3.16791924782579,3.37696479996248,1.5592377948328
"general_health_fair",1.80244726484291,1.93387669211863,2.29517066989249,0.347775054749382
"general_health_good",3.22074977799133,2.23110353791978,2.99023538590116,0.577589156775266
"general_health_very_good",0.311526140398474,0.704550672906987,0.600780691864445,0.0487622720416838
"hiv_risk_behavior_no",1.74923923424023,1.4299519587002,2.1520043301982,0.174751549034751
"hiv_aids_test_no",1.79368950433735,2.19171251198315,2.46059037773945,0.2749215502099
"hiv_aids_test_yes",2.1048148795674,2.66590586291845,2.57833360955025,0.463245891654066
"have_at_least_one_personal_d_no",4.01244907474887,4.44159596985017,4.52936944406869,2.17900512037353
