"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"154",600,10,10,10,0.288466320539024,0.149350695165302,0.0793723002220341
"155",700,10,10,10,0.286439656509154,0.148175278533536,0.100146621908617
"156",300,20,10,10,0.285590138288625,0.148289499598819,0.0989426267349744
"157",400,20,10,10,0.285343929296924,0.149253423024801,0.102285410648164
"158",500,20,10,10,0.284274962590658,0.149003164121312,0.106423249599494
"159",600,20,10,10,0.285449689496045,0.148969426317621,0.0984959692907745
"160",700,20,10,10,0.284241033874426,0.148411906108026,0.109177900744991
"161",300,30,10,10,0.283226920720176,0.14854304314412,0.108361221330391
"162",400,30,10,10,0.287626376556624,0.150861208109103,0.0768542754100052
"163",500,30,10,10,0.285209469323461,0.148623355550662,0.103676380185628
"164",600,30,10,10,0.283249644340863,0.148887155641266,0.11536914100711
"165",700,30,10,10,0.28488357258082,0.149073577735242,0.106085092729058
"166",300,40,10,10,0.289389726556734,0.15086415937189,0.072181168257622
"167",400,40,10,10,0.286141645873574,0.149572124175642,0.0920320913774687
"168",500,40,10,10,0.285307821216983,0.149079075478469,0.102783397099662
"169",600,40,10,10,0.285995625780923,0.1487622703629,0.0967639571024675
"170",700,40,10,10,0.284502107094882,0.14980037956727,0.104129168357516
"171",300,50,10,10,0.286855405327727,0.151042619289948,0.0936727429910944
"172",400,50,10,10,0.285263092013267,0.149056897933832,0.0968745847365085
"173",500,50,10,10,0.285470815981968,0.150693405319645,0.0970121818501705
"174",600,50,10,10,0.285516294501491,0.14957293569726,0.0990913841548787
"175",700,50,10,10,0.285293954990672,0.149814448674982,0.100599580017281
"176",300,60,10,10,0.283757261650602,0.149422565492587,0.106970689889579
"177",400,60,10,10,0.29033349134162,0.150830061024429,0.0642652144255073
"178",500,60,10,10,0.289420946209537,0.151839114251034,0.0786401508905945
"179",600,60,10,10,0.289648170043316,0.151471074789502,0.0693222507694524
"180",700,60,10,10,0.287298370085126,0.150131254987703,0.0809002395677073
"181",300,10,15,10,0.284309826799267,0.148790619134572,0.11495713908233
"182",400,10,15,10,0.28821970538003,0.151039623427479,0.0821506306853641
"183",500,10,15,10,0.285152967986021,0.14873852529682,0.10971719124764
"184",600,10,15,10,0.286551688469124,0.149387403189693,0.0985186053471847
"185",700,10,15,10,0.286341933227047,0.149940040591046,0.098072929841587
"186",300,20,15,10,0.285937347510198,0.149964889759865,0.106327228224203
"187",400,20,15,10,0.287566963576059,0.151068197176721,0.0877098075041037
"188",500,20,15,10,0.284341312895182,0.149171072782709,0.109204689534114
"189",600,20,15,10,0.287609967473386,0.151255260723362,0.0873685137416833
"190",700,20,15,10,0.286786454453871,0.149419678311197,0.0940711400240443
"191",300,30,15,10,0.286936915519868,0.151262920267139,0.0895006174778834
"192",400,30,15,10,0.28398813563635,0.14999929279248,0.114150545277784
"193",500,30,15,10,0.287399870097406,0.151211067898867,0.0873721551336476
"194",600,30,15,10,0.287430928814403,0.150847951011852,0.0912159426502244
"195",700,30,15,10,0.287568061506134,0.150708447951882,0.0878853437466484
"196",300,40,15,10,0.289431640724467,0.151266926645619,0.0806285819553303
"197",400,40,15,10,0.289268649345159,0.153245144717692,0.0745638455613414
"198",500,40,15,10,0.287069258804438,0.151466664722168,0.0916895771807864
"199",600,40,15,10,0.285890564975783,0.150848609714999,0.0997271642404872
"200",700,40,15,10,0.285888856564735,0.150643075720141,0.101214702811111
"201",300,50,15,10,0.289099258004426,0.15302406672033,0.0796331736257524
"202",400,50,15,10,0.290262296914305,0.153523902325342,0.0645378949344267
"203",500,50,15,10,0.291343592904441,0.153510862786683,0.0617414751857419
"204",600,50,15,10,0.287533741433604,0.15149179518096,0.0861704693536819
"205",700,50,15,10,0.287094643314843,0.151277117008506,0.0931409008081717
"206",300,60,15,10,0.289098832126366,0.152241689268454,0.082244285944618
"207",400,60,15,10,0.288560719172691,0.152082391486112,0.0830201191246567
"208",500,60,15,10,0.289292999592301,0.151979656795693,0.077683359301637
"209",600,60,15,10,0.291043333847384,0.152849218354426,0.0631221175489678
"210",700,60,15,10,0.288772715058221,0.151437926939066,0.0819706083330803
"211",300,10,20,10,0.287137959710932,0.150758703972212,0.0952405759468345
"212",400,10,20,10,0.286844132009903,0.149267293607365,0.0947006565809047
"213",500,10,20,10,0.287132279578116,0.149685002514455,0.0944740900949037
"214",600,10,20,10,0.287790590308767,0.150665075736693,0.0917313548293465
"215",700,10,20,10,0.288379836618163,0.150657431955177,0.0871114929366738
