"","0","1","MeanDecreaseAccuracy","MeanDecreaseGini"
"poor_mental_health_5_days_none_to_less_than_5_days",3.13969350766282,3.37096559614543,3.72929257736675,0.523774024408508
"poor_physical_health_14_day_14_or_more_days",3.29971403913134,1.55266851340746,3.44905334834663,0.447033231011435
"poor_physical_health_14_day_none_to_less_than_14_days",3.26311547455714,2.14209897819061,3.2685531624668,0.553617361745937
"poor_physical_health_5_days_5_or_more_days",5.01024284759554,3.42918558521532,5.23290439168992,2.16828636568908
"poor_physical_health_5_days_none_to_less_than_5_days",4.158193742943,2.79038975422404,4.29754380445587,1.54106843052104
"pre_diabetes_yes",2.3804814202961,2.23926840587406,2.71701976039764,0.310393387597835
"pre_diabetes_2_yes",2.97068036880396,3.33840308323674,3.72797628994419,0.883966038946846
"provided_care_past_30_days_yes",2.09416508148783,3.25915980043206,3.18870942925788,0.287765071982445
"reg_bp_check_yes",2.60732375997763,2.93535811913618,3.28627715813559,0.65835797040883
"remove_teeth_1_to_5",2.65861729649002,2.07362878653874,3.07481296089638,0.163337096619456
"remove_teeth_6_or_more_but_not_all",1.87009467174149,0.469265770158487,2.12670115549651,0.132655440277512
"routine_checkup_within_the_past_2_years",2.65122704458675,2.02446787462329,2.82656197635344,0.4939887227841
"routine_checkup_within_the_past_year",7.44943824621797,6.10404770720679,7.71163910767533,5.85965558907214
"routine_checkup_in_the_past_yes",5.55336568839005,5.15257757203649,6.1777779320911,4.14100264967292
"rx_opioid_no",3.62047025085798,2.63872460416143,3.43749656820965,0.732667374606398
"rx_pain_med_no",2.87050305447566,2.1464492085562,2.98979429112395,0.400054243497929
"rx_pain_risk_ed_source_no",1.66304606281193,1.54434032643634,1.90446690940844,0.0958934716837908
"served_on_active_duty_yes",5.98418594654839,4.60179972121435,6.06297050379624,2.95237658517827
"sexual_orientation_straight",1.96337712230251,0.539869054410811,2.37113106009477,0.207640880865035
"sigm_past_10_yrs_50_75_ia_no",2.7982110421226,1.76590519741435,3.12706258543218,0.200479485168165
"sigm_past_10_yrs_age_50_75_no",1.78720266044773,1.29751607339081,2.28624889186162,0.077808276213377
"sigm_past_5_yrs_50_75_ia_no",3.25867878807026,1.25358441720835,3.43254283908469,0.541450190740902
"sigm_past_5_yrs_age_50_75_no",2.96228422061122,1.53559124835032,3.2320261344362,0.507852973674904
"skin_cancer_no",4.01611759137554,1.95539530526563,4.14392109444176,0.664908996539344
"smokeless_tobacco_use_not_at_all",2.55189942540451,1.80896037293979,2.96069440842832,0.439603697833475
"smoker_status_former_smoker",3.59146422203282,2.6747975528052,3.87506792325675,0.902227582830913
"smoker_status_never_smoked",2.56807891499363,0.849426855186108,2.56324884490849,0.276969570966581
"stool_dna_past_3_yrs_50_75_i_no",5.22892594439352,2.96711058205544,5.37977756952653,2.35370230968999
"stool_dna_past_3_yrs_age_50_no",6.19976076530925,4.23344044576388,6.39803548970072,3.95935159701148
"stroke_no",3.46130507227385,2.84152184342805,3.89697345013217,0.646442481914385
"suicidal_ideation_no",3.89478918502474,4.16208371363691,4.94778140346241,0.643359138064184
"suicide_attempt_no",2.83980709421463,2.43024818952119,2.86144605819398,0.211214509375893
"teeth_removed_yes",2.82622137901014,1.97726258279823,3.06664253901741,0.253086750325454
"up_to_date_crc_scrn_50_75_ia_yes",3.24322450026617,2.44897213243366,3.25904066936138,0.506144277637365
"up_to_date_crc_scrn_age_50_7_yes",2.91429281744661,2.61768669018577,3.13885781673596,0.538578061632328
"v_col_5_yrs_50_75_ia_no",2.51056956805776,2.05500566174221,2.63075287805137,0.258332320387575
"v_col_5_yrs_age_50_75_no",1.48095629577408,1.54251291608837,1.87293933795629,0.123295963156417
"virtual_colonoscopy_no",2.29747068182548,2.07666198858651,2.82725372288741,0.312112681376866
"ep_unemp",0.532532850778237,7.2244939779832,7.13880399305617,0.841582872502132
"ep_hburd",1.03263195187742,7.78603454424637,7.8701948214299,1.05144368871028
"ep_nohsdp",2.44621438518373,7.61083871835869,8.24029772630946,1.0402208581614
"ep_age65",0.65200945080286,13.1982384241038,13.0634743443684,5.0146753522411
"ep_age17",1.51609777268636,6.97433464031995,7.0451619989377,0.754930334897329
"ep_disabl",-3.01310904585573,8.20218566959437,7.02955214473626,1.23056063761397
"ep_sngpnt",0.69469022509438,8.92405587285385,8.74705583284333,1.84626229411697
"ep_limeng",-0.087288278663017,7.49062157770125,7.21467940571089,0.765026810442373
"ep_munit",4.98264279251799,10.4070507063141,10.9158699635019,2.20553938835969
"ep_mobile",-0.598618773236356,6.81511965494267,5.7720416122349,0.903852018440064
"ep_crowd",-0.569966913724272,8.80381896605786,8.49155249287163,1.29398070505618
"ep_noveh",0.721842222977594,7.02626457697139,6.31129355311906,0.788567226523511
"ep_groupq",0.853972824924146,6.13009350743836,6.066158895512,0.751506446810035
"ep_noint",1.51089165730718,9.59131170473882,9.29797578660844,1.88959726189018
"ep_asian",2.81187107762241,5.68239740845369,6.4081336927273,0.516023078251669
"ep_aian",4.39243475575105,9.15508188786665,9.48062050098713,3.93667770016438
"ep_nhpi",1.93457781735461,8.31966668915333,8.03198202170311,1.73454080518963
"ep_twomore",0.282843167010702,7.62676142654914,7.41699932180809,0.793433194767737
"ep_otherrace",8.58911302884058,14.6757679928806,14.8306377300931,7.45058546038748
"density",7.20012230414918,10.8926753205502,11.4130071812697,3.45158146429197
