Demographic Category,Demographic Group,Question1,Response Description1,Lkbrfcurr Note2,Measure Names,Measure Values
Race_Ethnicity,black_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Race_Ethnicity,other_multi,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Race_Ethnicity,white_only,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],20.7%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],81.8%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],59.2%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],71.9%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],40.8%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],18.2%
Age_Group,65+,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],28.1%
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Lower CL (copy)_785878172178423810:qk],--
Education,col,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,hs,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,hs_LT,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Education,socol,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,No,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Percent (copy)_785878172173611008:qk],--
Income,25k_49k,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
Income,50k_GE,Calculated: Percentage of adults 65 years and older who had a pneumonia vaccination in their lifetime.,Yes,"The sample size includes all survey respondents 65 years of age and older except those with  missing, ""don't know"", or ""refused"" answers.",[federated.17jf04u1vtxutu19rc1m90s6yzjx].[min:Upper CL (copy)_785878172177780737:qk],--
